type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share
Residential building,Urban,1,107.859,2011,594,507,1,107.859,0.005523980756948072
Residential building,Urban,1,120.671,2011,594,507,2,120.671,0.00618014520736963
Residential building,Urban,2,95.438,2011,594,507,3,190.876,0.009775682613070958
Residential building,Urban,1,69.089,2011,594,507,4,69.089,0.003538381651200043
Residential building,Urban,1,62.84,2011,594,507,5,62.84,0.0032183401548931193
Residential building,Urban,1,61.582,2011,594,507,6,61.582,0.0031539118939947174
Residential building,Urban,1,85.596,2011,594,507,7,85.596,0.004383784912447985
Residential building,Urban,1,82.328,2011,594,507,8,82.328,0.004216414835646733
Residential building,Urban,1,154.282,2011,594,507,9,154.282,0.007901526985633676
Residential building,Urban,1,86.635,2011,594,507,10,86.635,0.004436997124748016
Residential building,Urban,1,138.7,2011,594,507,11,138.7,0.0071034974456345564
Residential building,Urban,1,91.46,2011,594,507,12,91.46,0.004684108697748641
Residential building,Urban,1,81.65699999999998,2011,594,507,13,81.65699999999998,0.004182049682178665
Residential building,Urban,1,123.18,2011,594,507,14,123.18,0.006308643225329955
Residential building,Urban,1,126.594,2011,594,507,15,126.594,0.006483490667863454
Residential building,Urban,1,89.441,2011,594,507,16,89.441,0.004580705948341748
Residential building,Urban,1,108.567,2011,594,507,17,108.567,0.005560240859266092
Residential building,Urban,2,133.012,2011,594,507,18,266.024,0.013624374942159246
Residential building,Urban,1,104.835,2011,594,507,19,104.835,0.005369107099589754
Residential building,Urban,1,108.723,2011,594,507,20,108.723,0.0055682303733361645
Residential building,Urban,1,103.682,2011,594,507,21,103.682,0.0053100563962385165
Residential building,Urban,1,116.491,2011,594,507,22,116.491,0.005966067202158726
Residential building,Urban,1,91.891,2011,594,507,23,91.891,0.004706182291108905
Residential building,Urban,2,107.127,2011,594,507,24,214.254,0.010972982997238546
Residential building,Urban,1,97.449,2011,594,507,25,97.449,0.0049908343372721126
Residential building,Urban,2,93.188,2011,594,507,26,186.376,0.00954521586104965
Residential building,Urban,2,91.643,2011,594,507,27,183.286,0.009386962024661683
Residential building,Urban,1,110.68,2011,594,507,28,110.68,0.005668457803048543
Residential building,Urban,1,107.586,2011,594,507,29,107.586,0.005509999107325447
Residential building,Urban,1,91.476,2011,594,507,30,91.476,0.004684928135089162
Residential building,Urban,1,76.72199999999998,2011,594,507,31,76.72199999999998,0.003929304477461964
Residential building,Urban,1,84.366,2011,594,507,32,84.366,0.004320790666895494
Residential building,Urban,1,103.587,2011,594,507,33,103.587,0.005305190987029178
Residential building,Urban,1,79.36,2011,594,507,34,79.36,0.004064409208980234
Residential building,Urban,2,99.731,2011,594,507,35,199.462,0.010215413175927614
Residential building,Urban,1,59.459,2011,594,507,36,59.459,0.0030451828018744423
Residential building,Urban,1,74.887,2011,594,507,37,74.887,0.0038353252574710533
Residential building,Urban,1,73.437,2011,594,507,38,73.437,0.0037610637484864094
Residential building,Urban,1,85.173,2011,594,507,39,85.173,0.0043621210377579826
Residential building,Urban,1,99.477,2011,594,507,40,99.477,0.005094698020183049
Residential building,Urban,2,114.183,2011,594,507,41,228.366,0.011695726731577372
Residential building,Urban,1,142.278,2011,594,507,42,142.278,0.007286744120908389
Residential building,Urban,1,115.657,2011,594,507,43,115.657,0.005923354030784109
Residential building,Urban,1,116.418,2011,594,507,44,116.418,0.005962328519292602
Residential building,Urban,1,93.67,2011,594,507,45,93.67,0.004797293480407996
Residential building,Urban,1,82.658,2011,594,507,46,82.658,0.004233315730794962
Residential building,Urban,1,94.33,2011,594,507,47,94.33,0.004831095270704454
Residential building,Urban,1,113.737,2011,594,507,48,113.737,0.005825021549921684
Residential building,Urban,1,100.442,2011,594,507,49,100.442,0.005144120334783174
Residential building,Urban,1,109.307,2011,594,507,50,109.307,0.005598139836265152
Residential building,Urban,1,104.797,2011,594,507,51,104.797,0.005367160935906018
Residential building,Urban,1,116.881,2011,594,507,52,116.881,0.005986040987333905
Residential building,Urban,1,91.266,2011,594,507,53,91.266,0.004674173019994835
Residential building,Urban,1,109.459,2011,594,507,54,109.459,0.005605924491000094
Residential building,Urban,2,107.102,2011,594,507,55,214.204,0.010970422255549422
Residential building,Urban,1,111.134,2011,594,507,56,111.134,0.005691709337585804
Residential building,Urban,2,96.86,2011,594,507,57,193.72000000000003,0.009921337600348426
Residential building,Urban,1,117.115,2011,594,507,58,117.115,0.005998025258439013
Residential building,Urban,1,124.14,2011,594,507,59,124.14,0.006357809465761167
Residential building,Urban,2,118.057,2011,594,507,60,236.114,0.012092539263724281
Residential building,Urban,1,104.963,2011,594,507,61,104.963,0.005375662598313915
