type,landuse,floors,area,year,pop2011,pop2022,ID,weight
Residential building,Urban,1,107.859,2011,594,507,1,107.859
Residential building,Urban,1,120.671,2011,594,507,2,120.671
Residential building,Urban,2,95.438,2011,594,507,3,190.876
Residential building,Urban,1,69.089,2011,594,507,4,69.089
Residential building,Urban,1,62.84,2011,594,507,5,62.84
Residential building,Urban,1,61.582,2011,594,507,6,61.582
Residential building,Urban,1,85.596,2011,594,507,7,85.596
Residential building,Urban,1,82.328,2011,594,507,8,82.328
Residential building,Urban,1,154.282,2011,594,507,9,154.282
Residential building,Urban,1,86.635,2011,594,507,10,86.635
Residential building,Urban,1,138.7,2011,594,507,11,138.7
Residential building,Urban,1,91.46,2011,594,507,12,91.46
Residential building,Urban,1,81.65699999999998,2011,594,507,13,81.65699999999998
Residential building,Urban,1,123.18,2011,594,507,14,123.18
Residential building,Urban,1,126.594,2011,594,507,15,126.594
Residential building,Urban,1,89.441,2011,594,507,16,89.441
Residential building,Urban,1,108.567,2011,594,507,17,108.567
Residential building,Urban,2,133.012,2011,594,507,18,266.024
Residential building,Urban,1,104.835,2011,594,507,19,104.835
Residential building,Urban,1,108.723,2011,594,507,20,108.723
Residential building,Urban,1,103.682,2011,594,507,21,103.682
Residential building,Urban,1,116.491,2011,594,507,22,116.491
Residential building,Urban,1,91.891,2011,594,507,23,91.891
Residential building,Urban,2,107.127,2011,594,507,24,214.254
Residential building,Urban,1,97.449,2011,594,507,25,97.449
Residential building,Urban,2,93.188,2011,594,507,26,186.376
Residential building,Urban,2,91.643,2011,594,507,27,183.286
Residential building,Urban,1,110.68,2011,594,507,28,110.68
Residential building,Urban,1,107.586,2011,594,507,29,107.586
Residential building,Urban,1,91.47600000000001,2011,594,507,30,91.47600000000001
Residential building,Urban,1,76.72199999999998,2011,594,507,31,76.72199999999998
Residential building,Urban,1,84.366,2011,594,507,32,84.366
Residential building,Urban,1,103.587,2011,594,507,33,103.587
Residential building,Urban,1,79.36,2011,594,507,34,79.36
Residential building,Urban,2,99.731,2011,594,507,35,199.462
Residential building,Urban,1,59.459,2011,594,507,36,59.459
Residential building,Urban,1,74.887,2011,594,507,37,74.887
Residential building,Urban,1,73.437,2011,594,507,38,73.437
Residential building,Urban,1,85.173,2011,594,507,39,85.173
Residential building,Urban,1,99.477,2011,594,507,40,99.477
Residential building,Urban,2,114.183,2011,594,507,41,228.366
Residential building,Urban,1,142.278,2011,594,507,42,142.278
Residential building,Urban,1,115.657,2011,594,507,43,115.657
Residential building,Urban,1,116.418,2011,594,507,44,116.418
Residential building,Urban,1,93.67,2011,594,507,45,93.67
Residential building,Urban,1,82.658,2011,594,507,46,82.658
Residential building,Urban,1,94.33,2011,594,507,47,94.33
Residential building,Urban,1,113.737,2011,594,507,48,113.737
Residential building,Urban,1,100.442,2011,594,507,49,100.442
Residential building,Urban,1,109.307,2011,594,507,50,109.307
Residential building,Urban,1,104.797,2011,594,507,51,104.797
Residential building,Urban,1,116.881,2011,594,507,52,116.881
Residential building,Urban,1,91.266,2011,594,507,53,91.266
Residential building,Urban,1,109.459,2011,594,507,54,109.459
Residential building,Urban,2,107.102,2011,594,507,55,214.204
Residential building,Urban,1,111.134,2011,594,507,56,111.134
Residential building,Urban,2,96.86000000000001,2011,594,507,57,193.72000000000003
Residential building,Urban,1,117.115,2011,594,507,58,117.115
Residential building,Urban,1,124.14,2011,594,507,59,124.14
Residential building,Urban,2,118.057,2011,594,507,60,236.114
Residential building,Urban,1,104.963,2011,594,507,61,104.963
Residential building,Urban,1,96.725,2011,594,507,62,96.725
Residential building,Urban,1,68.062,2011,594,507,63,68.062
Residential building,Urban,1,84.539,2011,594,507,64,84.539
Residential building,Urban,1,80.334,2011,594,507,65,80.334
